"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.33168981486741,0.773,0.142,0,"0","UCHL5"
0,1.20231478315606,0.835,0.205,0,"0","CAB39"
0,2.4371297418476,0.707,0.077,0,"0","MAD2L1"
0,1.26324666361069,0.85,0.22,0,"0","MRPS33"
0,0.829896030624366,0.858,0.228,0,"0","OIP5-AS1"
0,1.14855972210492,0.875,0.245,0,"0","PDLIM1"
0,0.861392100277104,0.869,0.239,0,"0","POLR2J"
0,1.21783685524374,0.876,0.246,0,"0","RPL22L1"
0,1.46161021011018,0.763,0.133,0,"0","RUVBL2"
0,0.956100841593908,0.861,0.231,0,"0","SS18L2"
0,1.08070058414764,0.8,0.17,0,"0","UQCRC2"
0,2.1404898538761,0.699,0.069,0,"0","HN1L"
0,0.939132144391189,0.882,0.253,0,"0","EIF2S3"
0,1.55044060127092,0.747,0.118,0,"0","GRPEL1"
0,1.98798252392171,0.705,0.076,0,"0","NPM1P27"
0,1.64490786147967,0.967,0.338,0,"0","NUTF2"
0,1.05375864668582,0.815,0.186,0,"0","PDCD6"
0,1.13154441912535,0.841,0.212,0,"0","PSMD2"
0,1.16264797704385,0.792,0.163,0,"0","PTTG1"
0,0.740808327216882,0.919,0.291,0,"0","EIF3D"
0,1.27314522988598,0.793,0.165,0,"0","AIDA"
0,1.54156022812637,0.774,0.146,0,"0","FEN1"
0,1.37233801323446,0.76,0.132,0,"0","HMGB1P5"
0,1.54130502337172,0.833,0.205,0,"0","LGALS3"
0,1.52812594174692,0.741,0.113,0,"0","RPL26L1"
0,0.920615645559762,0.858,0.23,0,"0","TMPO"
0,1.72718983566467,0.954,0.327,0,"0","BAX"
0,0.848285744631956,0.921,0.294,0,"0","C19orf53"
0,1.39981817471959,0.757,0.13,0,"0","KPNA3"
0,0.854332589460543,0.895,0.268,0,"0","RAB1B"
0,1.05133632163351,0.769,0.142,0,"0","RPSAP58"
0,0.650464703426882,0.821,0.194,0,"0","SWAP70"
0,0.950400828529919,0.805,0.178,0,"0","USP10"
0,0.873827073160863,0.924,0.298,0,"0","MTPN"
0,1.11211000133006,0.915,0.289,0,"0","PSMD13"
0,1.09724092480512,0.794,0.168,0,"0","BLOC1S2"
0,1.09465351168334,0.78,0.154,0,"0","CAPRIN1"
0,1.57786255959282,0.743,0.117,0,"0","CLNS1A"
0,2.77211106836396,0.678,0.052,0,"0","NPM3"
0,1.20623852252914,0.772,0.146,0,"0","SF3B14"
0,1.51182144004656,0.949,0.323,0,"0","CCT2"
0,1.44188357717428,0.955,0.329,0,"0","MYL12A"
0,1.10806609383537,0.942,0.316,0,"0","POLR2L"
0,0.919173342171493,0.82,0.194,0,"0","SMARCC1"
0,1.02527834089288,0.842,0.217,0,"0","API5"
0,1.3155169970142,0.787,0.162,0,"0","ETFA"
