"tf","gene","Gain","Cover","Frequency","Cor"
"TGIF1","NDC80",0.020322304487495,0.036,0.036,-0.263249043467725
"TGIF1","PITX1",0.0203798797052796,0.0259062532489753,0.0259062532489753,-0.102817856200533
"TGIF1","AQP3",0.0269219979540537,0.024,0.024,-0.475817971548968
"TGIF1","NR1H3",0.0336461598430877,0.0385924806661184,0.0385924806661184,-0.114541943682285
"TGIF1","GMEB1",0.0671595204818992,0.078,0.078,-0.131545551543413
"TGIF2","PITX1",0.157557350655678,0.149527981982689,0.149527981982689,0.134631643626779
"TGIF2","SP1",0.0853300145287745,0.064,0.064,0.183555481511088
"TGIF2","PLAGL2",0.0842208739963685,0.084,0.084,0.209306917725649
"TGIF2","LIMA1",0.0610250326207082,0.032,0.032,0.148983420755715
"TGIF2","ZNF354C",0.0453071303809981,0.114,0.114,0.143028483321562
"TGIF2","GBP1",0.0310201491831469,0.026,0.026,0.190554492309165
"TGIF2","XRCC5",0.0308097350784046,0.05,0.05,0.148129434645754
"TGIF2","NFE2L2",0.0292166310494816,0.036,0.036,0.246152169061812
"TGIF2","HES6",0.0285391196913769,0.036,0.036,0.00323296368418835
"TGIF2","NEUROD2",0.0284959928281776,0.0122461730709153,0.0122461730709153,0.127555180157619
"TGIF2","CD70",0.0187393410823647,0.034,0.034,0.12168961483119
"TGIF2","SOX2",0.0187359636149823,0.064,0.064,0.0351617295841742
"TGIF2","PPP2R3C",0.0163327339021797,0.048,0.048,0.0954715008296469
"TGIF2","MT1E",0.0133969747415066,0.032,0.032,0.0547726470423574
"TGIF2","PKNOX1",0.0112394436042567,0.006,0.006,0.0373852000516193
"TGIF2","ZNF341",0.0103121769736749,0.018,0.018,-0.129455524937094
"TGIF2","HES7",0.0244309676144805,0.0778378378378378,0.0778378378378378,-0.0653806880127296
"THAP1","PPP2R3C",0.078348234593342,0.094,0.094,0.429982846134534
"THAP1","PLEKHA1",0.0700445793036188,0.078,0.078,0.0409115173618648
"THAP1","NR1H3",0.0672788920101477,0.058961940039996,0.058961940039996,0.0756120444284349
"THAP1","PLAGL1",0.0659792848753587,0.038,0.038,0.132473189749133
"THAP1","MT1X",0.0570478796866755,0.036,0.036,0.278631080416132
"THAP1","GATM",0.048883948711947,0.034,0.034,0.312063670560968
"THAP1","HOXA5",0.048781841049294,0.0857320636895965,0.0857320636895965,0.0490279749361035
"THAP1","SMAD5",0.044888566618391,0.038,0.038,0.0804229891746602
"THAP1","GATA3",0.0395709853494024,0.0615187969924812,0.0615187969924812,0.0630736334662959
"THAP1","HOXA7",0.0382478714842605,0.0477272727272727,0.0477272727272727,0.11593459423911
"THAP1","FOXC1",0.0374431432145293,0.0444954795516593,0.0444954795516593,0.0593299819244715
"THAP1","SNRPE",0.0364360859572863,0.06,0.06,0.45075464176489
"THAP1","CREB1",0.0361815532166386,0.05,0.05,0.136386431721213
"THAP1","ITGA8",0.0343697698142028,0.05,0.05,0.00383192735411043
"THAP1","FAH",0.0337833058440907,0.04,0.04,0.274121227259179
"THAP1","CD163L1",0.0324647650392637,0.0291652479854727,0.0291652479854727,0.249761809250986
"THAP1","ONECUT3",0.029891358942561,0.0336880776880777,0.0336880776880777,0.0443231480102321
"THAP1","IKZF1",0.0272187638159312,0.036,0.036,0.296906495605767
"THAP1","SRSF2",0.0266077593536919,0.04,0.04,0.427681801290198
"THAP1","PRR19",0.026413076446676,0.0370890648692312,0.0370890648692312,0.19303893064793
"THAP1","FLI1",0.0261186178673246,0.054,0.054,0.152695669676778
"THAP1","NDC80",0.0256881886781937,0.034,0.034,0.321434073340718
"THAP1","RARA",0.024475675593745,0.05,0.05,0.046211790575364
"THAP1","REST",0.0244411667453382,0.028,0.028,0.0134252371589431
"THAP1","EXO1",0.0244369850278114,0.026,0.026,0.347168771669002
"THAP1","NFYC",0.0238797211589684,0.02,0.02,0.177093549696158
"THAP1","TFCP2",0.0237294883483341,0.016,0.016,0.196792107981934
"THAP1","BCL6B",0.0233160969756316,0.0135115988735011,0.0135115988735011,0.0646527578180011
"THAP1","TP63",0.0230626660664159,0.0213280833435872,0.0213280833435872,0.206434115299411
"THAP1","SERPINB1",0.0209831677351527,0.028,0.028,0.356112487750788
"THAP1","HRAS",0.0199639083878456,0.052,0.052,0.31477983465837
"THAP1","NR2F6",0.019694305297675,0.0160618556701031,0.0160618556701031,0.102638038562242
"THAP1","PPM1G",0.0184750807313076,0.014,0.014,0.397695450186667
"THAP1","RFX3",0.0183328411859488,0.028,0.028,0.0693737002430387
"THAP1","MRPL37",0.0181836709595266,0.054,0.054,0.428284689317332
"THAP1","KSR1",0.0174746489095804,0.028,0.028,0.254247245521318
"THAP1","HSPE1",0.0168814543915262,0.026,0.026,0.453099410613152
"THAP1","ODC1",0.0165450237890722,0.038,0.038,0.371777698475936
"THAP1","SERBP1",0.0151790762034001,0.022,0.022,0.41601750634493
"THAP1","SNTA1",0.0145325656180906,0.032,0.032,0.269693146603293
"THAP1","PIK3R6",0.014342884868003,0.018,0.018,0.223906590935167
"THAP1","C1QBP",0.0138290363057129,0.034,0.034,0.441106703108628
"THAP1","PBX3",0.0131018172012138,0.034,0.034,0.282697429334804
"THAP1","E2F3",0.0116679597670081,0.02,0.02,0.183555736765904
"THAP1","PBK",0.0113173971710971,0.048,0.048,0.357065453236586
"THAP1","IL2RA",0.0112071537734267,0.018,0.018,0.409169563835214
"THAP1","KLHL23",0.0111042566598992,0.028,0.028,0.311147502344669
"THAP1","FOSL1",0.0101419129002231,0.0140833333333333,0.0140833333333333,0.255338817572726
"THAP1","RXRA",0.0101413553357974,0.024,0.024,0.0893259121075039
"THAP1","IRF9",0.0139476867199264,0.022,0.022,-0.138138164969316
"THAP1","RREB1",0.0224060773983663,0.036,0.036,-0.104733922511835
"THAP1","MEF2D",0.028461150250402,0.044,0.044,-0.163857428931398
"THAP1","FOXO3",0.038050678499133,0.042,0.042,-0.292785922293345
"THAP11","RARG",0.358131694581994,0.114,0.114,0.1759715936832
