"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
0.00810758438149768,1.54191398713092,0.259,0.382,1,"SCARNA9","3"
0.0186267545838308,2.46598435078102,0.179,0.176,1,"EPB41L4A-AS1","3"
0.0739776948524002,2.14900637994877,0.09,0.119,1,"TTTY15","3"
0.197496065943235,2.19220703554443,0.083,0.104,1,"TRIM52-AS1","3"
0.629216694924797,1.53705947427938,0.338,0.476,1,"SNHG8","3"
4.12176937190217e-57,0.950130091999174,0.993,0.985,9.48542785555847e-53,"MALAT1","4"
3.46708707484563e-42,1.74192475308592,0.485,0.32,7.97880748534224e-38,"AL928768.3","4"
2.80428002881403e-33,1.83866460290598,0.437,0.298,6.45348963030973e-29,"MIAT","4"
2.81472623358212e-22,1.61464430495043,0.244,0.131,6.47752948134253e-18,"AC074289.1","4"
2.59374123293249e-20,0.982595097178901,0.412,0.286,5.96897669934753e-16,"RP11-16E12.2","4"
3.15600301227478e-16,1.3082962868422,0.204,0.111,7.26290973214794e-12,"RP11-290F5.1","4"
3.59825449894377e-12,2.13903162638099,0.106,0.049,8.28066307841929e-08,"RP3-508I15.21","4"
3.85127869932524e-12,0.371948505176523,0.052,0.146,8.86294767075718e-08,"NUTM2A-AS1","4"
1.30450856553903e-10,1.63045765460144,0.219,0.15,3.00206556187497e-06,"AC006129.2","4"
2.33597194983179e-10,0.392906081528078,0.075,0.17,5.37577224814789e-06,"SETD5-AS1","4"
2.76571127029546e-10,0.320703028273008,0.118,0.231,6.36473134633095e-06,"SNHG9","4"
1.2128099408005e-08,0.336665495981262,0.066,0.146,0.000279103951676418,"ZSCAN16-AS1","4"
1.74400992955362e-08,0.447891835019542,0.041,0.106,0.000401349005088174,"PITPNA-AS1","4"
3.66235647389537e-08,1.08650784219312,0.329,0.281,0.000842818095337542,"RP11-284N8.3","4"
5.96072250858369e-08,0.548904740210568,0.114,0.212,0.00137174107090037,"LINC00493","4"
1.09182406401677e-07,0.304390331171787,0.072,0.148,0.0025126147185218,"ILF3-AS1","4"
2.84714056233926e-07,0.412631568252908,0.082,0.16,0.00655212457611134,"CTC-241F20.3","4"
3.88636793436718e-07,0.472220322707116,0.069,0.139,0.0089436985273592,"LINC00969","4"
4.47521061860713e-07,0.37684841679963,0.081,0.156,0.0102988021966006,"RP11-568N6.1","4"
3.31390247655399e-06,0.896727895751259,0.082,0.152,0.076262837692937,"RAB30-AS1","4"
3.86040935598846e-06,1.70812701533546,0.102,0.062,0.0888396005093624,"AC006129.4","4"
5.37914985003936e-06,1.45277037209835,0.152,0.107,0.123790375498956,"CTA-445C9.15","4"
7.38751966267346e-06,0.521509730346648,0.63,0.675,0.170008989997104,"NEAT1","4"
5.32775497928837e-05,0.64142600787761,0.118,0.19,1,"MMP24-AS1","4"
5.90304803755858e-05,1.16620856140531,0.113,0.076,1,"RP11-81H14.2","4"
6.53786763518398e-05,0.52066502097173,0.31,0.466,1,"AC009501.4","4"
7.13780553901113e-05,0.613423745901077,0.166,0.256,1,"TAPSAR1","4"
0.0039841082402507,1.08173959320591,0.106,0.08,1,"CTD-2521M24.9","4"
0.00527958021476972,0.759342267711633,0.152,0.213,1,"RP11-349A22.5","4"
0.00614114081911225,0.862778561505897,0.088,0.13,1,"LINC00667","4"
0.0148435661018344,0.477318058097027,0.181,0.243,1,"GS1-251I9.4","4"
0.0228532049172326,0.700323832741005,0.502,0.579,1,"RP11-94L15.2","4"
